FavouritesCount,FriendsCount,StatusesCount,isVerified,isTranslator,location,Lang,isRetweetedByMe
7902,118,13801,false,false,null,en-gb,false
8,28,24,false,false,Indonesia,en,false
135,257,296,false,false,null,en,false
293,1916,54683,false,false,Allianz Parque- SP,pt,false
14665,613,19521,false,false,United States,en,false
79633,1252,10767,false,false,Tralfamadore,en,false
176,528,1394,false,false,null,en,false
950,158,5859,false,false,null,en,false
173,135,159,false,false,null,en,false
2425,829,390812,false,false,125,en,false
246,10,26,false,false,null,en,false
51393,2593,156526,false,false,Melbourne Australia,en,false
6607,226,1139,false,false,null,en,false
1,11,302,false,false,Republic of the Philippines,en,false
1,11,303,false,false,Republic of the Philippines,en,false
2531,208,1040,false,false,null,en,false
2583,172,2826,false,false,San Antonio- TX,en,false
1541,432,629,false,false,Maryland- USA,en,false
36,141,28136,false,false,Birmingham,en-gb,false
1331,481,3181,false,false,null,en,false
41,161,59,false,false,null,en,false
113,389,24767,false,false,bojonegoro,id,false
3804,17,22,false,false,null,en,false
3727,946,22054,false,false,SpaceTime.. ,en,false
18702,2832,4762,false,false,Graceville,en,false
1309,224,1645,false,false,Fishguard,en,false
39675,226,23057,false,false,?#BrooklynBorn ? Toronto ??,en,false
18702,2832,4763,false,false,Graceville,en,false
20898,732,40511,false,false,Sadio Mane’s hairline,en,false
1063,328,3305,false,false,Northampton,en,false
2,0,55,false,false,null,en,false
16626,4861,18774,false,false,Chicago- IL,en,false
257,71,1428,false,false,Cardiff,en,false
8755,232,7581,false,false,null,en,false
6128,42,6612,false,false,null,fr,false
126,34,538,false,false,Fort Hood- TX,en,false
50,90,317,false,false,null,en,false
41,453,1579,false,false,UK,en,false
631,2697,2809,false,false,United Kingdom,en,false
18157,811,37211,false,false,Ascot- South East,en,false
438,132,1580,false,false,Wasquehal- Nord-Pas-de-Calais,fr,false
34303,1096,18622,false,false,Fort Lauderdale- Florida,en,false
652,451,35463,false,false,Find us somewhere in the ?,en,false
50,27,62,false,false,null,en,false
3,88,315,false,false,Phoenix- Arizona,en,false
91,76,66,false,false,United Kingdom,en,false
1557,106,10040,false,false,Pennsylvania- USA,en,false
13606,453,18749,false,false,null,en,false
305,163,3016,false,false,null,en,false
7106,347,7020,false,false,null,en,false
5854,1242,6813,false,false,USA,en,false
7143,446,9249,false,false,india,en,false
227,1434,641,false,false,Fort Lauderdale FL,en,false
9935,102,3849,false,false,Washington- DC,de,false
626,32,2241,false,false,null,en,false
181,1479,209,false,false,null,fi,false
79315,981,71585,false,false,null,en,false
14827,340,49543,false,false,Auckland- New Zealand,en,false
22008,1326,70255,false,false,Buffalo- NY,en,false
1079,153,1278,false,false,null,en,false
596,84,84713,false,false,United Kingdom,en,false
10485,153,2797,false,false,Kent,en,false
18144,53,15903,false,false,San Antonio,fr,false
440,4158,102653,true,false,San Antonio/New York City,en,false
2503,5001,5553,false,false,England,en,false
1337,148,2975,false,false,null,en,false
6404,625,22435,false,false,scotland,en,false
1008,431,4484,false,false,null,en,false
13330,933,7328,false,false,Louisville- KY,en,false
14,140,372,false,false,null,en,false
15039,726,21324,false,false,Pennsylvania- USA,en,false
18703,2832,4765,false,false,Graceville,en,false
0,1,220,false,false,null,en,false
20899,732,40514,false,false,Sadio Mane’s hairline,en,false
34104,623,28409,false,false,Liverpool- England,en,false
866,113,1336,false,false,Santa Cruz de Tenerife- Spain,en,false
812,1263,18501,false,false,Conurbano Sur - Argentina,en,false
1336,806,4102,false,false,London- England,en,false
20566,4742,18061,false,false,Malaysia,en,false
29744,2541,234956,false,false,Lagos City.,en,false
13157,356,3286,false,false,FtblHarvir suspended at 1.5k,en,false
4306,133,3189,false,false,United States,en,false
1922,244,5508,false,false,Kent,en,false
105239,4002,94594,false,false,Tulsa- OK,en,false
110,184,158,false,false,CTN(until further notice),en,false
1630,1,78,false,false,null,en,false
2437,99,4891,false,false,null,en,false
4239,166,974,false,false,Gundelfingen- Deutschland,en,false
37,2,92407,false,false,null,en,false
169,99,219,false,false,United Kingdom,en,false
23168,183,12192,false,false,Belgique - Namur,fr,false
110,184,158,false,false,CTN(until further notice),en,false
16933,1191,7652,false,false,canada,en,false
13606,453,18751,false,false,null,en,false
14980,214,3365,false,false,Konya- T?rkiye,en,false
41261,8422,193442,false,false,Yokohama Stadium,en,false
0,274,60224,false,false,London,en,false
4880,2183,36836,false,false,north east,en,false
206,85,273,false,false,Kuwait,en,false
890,260,703,false,false,null,en,false
21,18,20,false,false,Richmond Hill- Ontario,en,false
3513,1291,16093,true,false,Usually London,en,false
161,158,228,false,false,Minneapolis,en,false
7145,446,9250,false,false,india,en,false
837,77,250,false,false,England- United Kingdom,en,false
9490,281,24875,false,false,null,fr,false
8215,133,22911,false,false,North London is Red,en,false
3056,2176,11219,false,false,Leyland- England,en,false
78503,2751,82084,false,false,null,en,false
74,39,7,false,false,null,he,false
5705,1348,23037,false,false,null,en,false
289,134,390,false,false,null,en,false
206,85,274,false,false,Kuwait,en,false
14319,158,5877,false,false,null,en,false
3362,322,25837,false,false,null,en,false
29,1152,1238,false,false,United States,en,false
2029,509,4003,false,false,Dedridge- Scotland,en,false
162726,5944,192998,false,false,The Real World,en,false
7278,534,45737,false,false,null,en,false
10220,1238,19436,false,false,London,en,false
570,415,154774,true,false,London- England,en,false
17128,4995,829165,false,false,Devizes- England,en,false
1113,422,879,false,false,null,en,false
5908,176,81343,false,false,Malaysia / Senawang,en,false
7424,1861,6757,false,false,Stinkfist- AL,en,false
206,85,275,false,false,Kuwait,en,false
4597,435,205548,false,false,null,en,false
93128,4927,87194,false,false,Virginia- USA,en,false
416,85,962,false,false,North,en,false
882,689,55734,false,false,Old Coulsdon,en,false
25164,618,21353,false,false,Dublin- Ireland,en,false
51131,456,38611,false,false,null,en,false
33594,784,39304,false,false,null,en,false
4549,153,3024,false,false,Pennsylvania,en,false
50,308,723,false,false,nairobi-kenya,en,false
1206,515,2387,false,false,Philadelphia- PA,en,false
320,46,1213,false,false,null,en,false
1441,526,30759,false,false,null,en,false
80588,785,23034,false,false,Wherever Liverpool fans aren’t,en,false
1804,77,7352,false,false,Haute-Normandie- France,fr,false
488,130,30,false,false,Melbourne- Victoria,en,false
73,215,3279,false,false,null,en,false
0,29,2660,true,false,null,en,false
20626,136,24111,false,false,England- United Kingdom,en,false
207,414,7765,false,false,London,en,false
3751,710,27820,false,false,null,en,false
5930,420,8930,false,false,null,en,false
7231,1078,68988,false,false,Missouri,en,false
0,246,61557,false,false,Berlin- Deutschland,de,false
12501,439,20878,false,false,null,en,false
13027,980,3592,false,false,Croydon- London,en,false
16930,520,14098,false,false,ISLINGTON- NORF LONDON INNIT,en,false
21264,3760,54637,false,false,Florida- USA,en,false
47550,1349,31002,false,false,null,en,false
8878,601,5837,false,false,B-More,en,false
3527,4960,602,false,false,Kenya,en,false
215,204,1393,false,false,Leeming- England,en,false
12662,199,8990,false,false,NY,en,false
2821,368,9372,false,false,null,en,false
1011,406,786,false,false,San Diego- CA,en,false
24818,1689,9908,false,false,Port Orange- FL,en,false
51081,794,82249,false,false,In a cinema near you ...,en,false
9309,1181,38861,false,false,South Africa,en,false
90,140,4713,false,false,Palo- Leyte,en,false
271,95,2311,false,false,London- England,en,false
17081,267,6767,false,false,null,en,false
18160,811,37214,false,false,Ascot- South East,en,false
1190,2813,4627,false,false,usa,en,false
14441,907,4536,false,false,Bristol- England,en,false
1504,654,1157,false,false,avfc,en,false
39,5,4567,false,false,null,en,false
1401,1654,150526,false,false,Toronto- Canada,en,false
12863,988,70850,false,false,null,en-gb,false
14005,327,42295,false,false,null,en,false
1695,104,4363,false,false,Limerick- Ireland,en,false
5557,611,22422,false,false,null,en,false
269,769,5567,false,false,Huddersfield,en,false
282,95,377,false,false,null,en,false
2,81,1299,false,false,Nantucket ,en,false
14986,214,3371,false,false,Konya- T?rkiye,en,false
7013,821,5612,false,false,Iceland,en,false
42357,3274,253707,false,false,Ancient Greece... possibly-,en,false
